0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
120,Diogenes De Abreu Beto,Brazil,Male,M30-34,22,9:35:45,153,1:01:53,419,5:10:34,251,3:14:21,118,Finisher
665,Gabriel Fernandes,Brazil,Male,M35-39,41,9:36:13,154,59:34,265,5:09:35,240,3:18:10,153,Finisher
2149,Gabriel Angeloro,Uruguay,Male,M35-39,42,9:36:35,155,52:48,52,5:11:54,276,3:25:26,226,Finisher
303,Frederico Cury,Brazil,Male,M35-39,43,9:36:35,156,59:47,282,5:17:39,383,3:11:42,97,Finisher
1356,Martin Affonso Ferreira,Brazil,Male,M40-44,32,9:36:35,157,56:59,151,4:53:22,58,3:36:59,386,Finisher
1637,Carlos Cosoli,Argentina,Male,M45-49,18,9:36:37,158,57:53,189,5:03:50,171,3:28:23,252,Finisher
1111,Daniel De Oliveira Neto Barbosa,Brazil,Male,M40-44,33,9:37:03,159,1:01:20,384,5:03:37,167,3:20:04,176,Finisher
1465,Flavio Oliveira,Brazil,Male,M40-44,34,9:37:24,160,58:54,235,5:00:55,136,3:30:17,276,Finisher
1836,Andres Amione,Argentina,Male,M50-54,5,9:37:47,161,58:46,229,5:13:35,298,3:19:05,167,Finisher
1041,Renan Sbaraini Delavald,Brazil,Male,M40-44,35,9:38:00,162,1:02:17,439,5:09:23,237,3:18:51,162,Finisher
18,Diego Vasquez,Ecuador,Male,MPRO,19,9:38:01,163,57:35,171,4:48:26,35,3:43:52,503,Finisher
854,Rafael Mattos Amaral,Brazil,Male,M35-39,44,9:38:03,164,59:59,297,5:17:29,377,3:10:20,84,Finisher
1109,Dyego Januario Pinto,Brazil,Male,M40-44,36,9:38:27,165,1:02:46,464,5:12:42,286,3:14:58,125,Finisher
1360,Nicolás Moreno,Unknown,Male,M40-44,37,9:38:38,166,1:03:20,505,4:54:52,72,3:33:42,322,Finisher
928,Hernan Dario Catulo,Argentina,Male,M35-39,45,9:38:52,167,58:58,238,5:10:22,250,3:21:55,194,Finisher
251,Luiz Gustavo Moraes,Brazil,Male,M30-34,23,9:38:56,168,59:46,280,5:01:42,144,3:28:14,250,Finisher
843,Andre Luiz Simioni,Brazil,Male,M35-39,46,9:39:11,169,1:01:04,365,5:06:06,204,3:22:11,197,Finisher
250,Luís Felipe Gonçalves,Brazil,Male,M30-34,24,9:39:22,170,53:58,78,5:12:12,282,3:22:33,200,Finisher
755,Leandro Dasler,Brazil,Male,M35-39,47,9:39:29,171,1:12:30,1053,4:59:42,120,3:15:23,129,Finisher
1785,Mauricio Antonelli Lehoczki,Brazil,Male,M45-49,19,9:39:34,172,59:36,269,5:10:46,255,3:20:34,181,Finisher
1370,Eduardo Malucelli,Brazil,Male,M40-44,38,9:39:39,173,1:03:02,486,5:14:31,317,3:14:26,119,Finisher
286,Jeferson Francisco,Brazil,Male,M35-39,48,9:39:55,174,1:04:27,567,5:06:54,210,3:19:13,171,Finisher
126,Pedro Fernandez,Brazil,Male,M30-34,25,9:40:23,175,59:59,294,5:15:23,332,3:17:51,149,Finisher
